Roll,Main Subject Code,Optional
386,269/270/109/110/121/122,267/268
387,269/270/109/110/267/268,273/274
388,269/270/109/110/267/268,273/274
389,269/270/109/110/267/268,273/274
390,269/270/109/110/267/268,273/274
391,269/270/109/110/267/268,273/274
392,269/270/109/110/271/272,273/274
393,269/270/109/110/271/272,273/274
394,269/270/109/110/271/272,273/274
395,269/270/109/110/267/268,273/274
396,269/270/109/110/267/268,273/274
397,269/270/109/110/267/268,273/274
398,269/270/267/268/271/272,109/110
399,269/270/267/268/271/272,109/110
400,269/270/271/272,273/274
401,109/110/121/122/267/268,273/274
402,269/270/271/272,121/122
403,269/270/267/268,273/274
404,269/270/267/268,273/274
405,269/270/109/110/267/268,273/274
406,269/270/271/272,273/274
407,269/270/267/268,121/122
408,269/270/267/268,273/274
409,269/270/267/268,273/274
410,269/270/121/122,273/274
411,269/270/271/272/267/268,273/274
412,269/270/267/268,273/274
413,269/270/121/122,273/274
414,269/270/271/272/267/268,109/110
415,269/270/271/272,273/274
416,269/270/271/272,273/274
417,269/270/121/122,273/274
418,269/270/271/272,273/274
419,269/270/267/268,273/274
420,269/270/267/268,273/274
421,269/270/271/272,273/274
422,269/270/271/272,273/274
423,269/270/271/272,273/274
424,269/270/271/272,273/274
425,269/270/271/272,273/274
426,269/270,273/274
427,270/121/122/267/268,273/274
428,269/270/267/268,273/274
429,269/270/267/268,273/274
430,269/270/267/268,273/274
431,269/270/267/268,273/274
432,269/270/271/272,273/274
433,269/270/267/268,273/274
434,271/272,273/274
435,269/270/267/268,273/274
436,269/270/267/268,273/274
437,271/272,273/274
438,269/270/267/268/271/272,273/274
439,269/270/109/110/121/122,273/274
440,269/270/109/110/267/268,273/274
441,269/270/109/110/121/122,273/274
442,269/270/109/110/271/272,273/274
443,269/270/109/110/267/268,273/274
444,269/270/109/110/267/268,273/274
445,269/270/109/110/271/272,273/274
446,269/270/267/268/271/272,273/274
447,269/270/121/122,273/274
448,269/270/267/268/271/272,273/274
