Roll,Main Subject Code,Optional
201,269/270/109/110/271/272,273/274
202,269/270/271/272/267/268,273/274
203,269/270/109/110/267/268,273/274
204,269/270/109/110/267/268,273/274
205,269/270/109/110/267/268,273/274
206,269/270/109/110/267/268,273/274
207,269/270/109/110/267/268,273/274
208,269/270/109/110/267/268,273/274
209,269/270/109/110/267/268,273/274
210,269/270/109/110/121/122,273/274
211,269/270/271/272/267/268,273/274
212,269/270/109/110/271/272,267/268
213,269/270/109/110/267/268,273/274
214,269/270/109/110/267/268,273/274
215,269/270/109/110/267/268,273/274
216,269/270/109/110/267/268,273/274
217,269/270/109/110/271/272,273/274
218,269/270/109/110/267/268,273/274
219,269/270/109/110/267/268,273/274
220,269/270/109/110/271/272,273/274
221,269/270/109/110/267/268,273/274
222,269/270/109/110/267/268,273/274
223,269/270/267/268,273/274
224,109/110/267/268/121/122,273/274
225,269/270/109/110/267/268,273/274
226,269/270/109/110/267/268,273/274
227,269/270/109/110/267/268,273/274
228,269/270/109/110/271/272,121/122
229,269/270/267/268/271/272,273/274
230,269/270/109/110/267/268,121/122
231,269/270/109/110/267/268,273/274
232,269/270/109/110/271/272,273/274
233,269/270/109/110/271/272,273/274
234,269/270/109/110/267/268,273/274
235,269/270/109/110/267/268,273/274
236,269/270/109/110/267/268,273/274
237,269/270/109/110/271/272,273/274
238,269/270/109/110/267/268,273/274
239,269/270/109/110/267/268,273/274
240,269/270/109/110/267/268,273/274
241,269/270/267/268/271/272,273/274
242,269/270/109/110/267/268,273/274
243,269/270/109/110/267/268,273/274
244,269/270/109/110/267/268,273/274
245,269/270/109/110/121/122,273/274
246,269/270/109/110/267/268,273/274
247,269/270/109/110/267/268,273/274
248,269/270/109/110/267/268,273/274
249,269/270/109/110/267/268,273/274
250,269/270/109/110/271/272,273/274
251,269/270/109/110/267/268,121/122
252,269/270/109/110/121/122,273/274
253,269/270/109/110/267/268,273/274
254,269/270/109/110/271/272,273/274
255,269/270/267/268,273/274
256,269/270/109/110/267/268,273/274
257,269/270/109/110/267/268,273/274
258,269/270/109/110/267/268,273/274
259,269/270/109/110/267/268,273/274
